title,options(default)
Stage,"XSTM_VD(1), XPIN_VD(1), XTJS_VD(1), ABS_VD(1), SABS_VD(1), XSEC_VD(1), XTJS_VD(1), ELGI_VD(1)"
Step,MEAS_STEM(1)
RUN,"1(1),2(0)"
Magnification,"125nm(1),250nm(1),1000nm(0)"
Point,"1(1),2(1),3(1),4(1),5(1),6(1)"
